timestamp,cpu_usage_percent
1779734520,20.272881355931073
1779734535,20.405084745761382
1779734550,20.561016949152155
1779734565,20.96864406779725
1779734580,21.24406779661081
1779734595,21.57288135592954
1779734610,20.4991525423716
1779734625,20.56186440677883
1779734640,20.65762711864486
1779734655,20.668644067797803
1779734670,20.80084745762687
1779734685,20.933898305085098
1779734700,21.027118644069876
1779734715,21.1610169491523
1779734730,21.305932203391365
1779734745,21.348305084744833
1779734760,21.37796610169447
1779734775,21.44406779660839
1779734790,21.55169491525404
1779734805,21.500847457627657
1779734820,21.50508474576227
1779734835,21.629661016950042
1779734850,21.453389830507984
1779734865,21.592372881356624
1779734880,21.8271186440676
1779734895,21.58389830508248
1779734910,21.64067796610175
1779734925,21.526271186440237
1779734940,21.426271186442058
1779734955,21.468644067797992
1779734970,21.394915254235368
1779734985,21.254237288134604
1779735000,21.160169491524393
1779735015,21.211864406779913
1779735030,21.238135593219166
1779735045,21.298305084747593
1779735060,21.308474576270154
1779735075,21.380508474576963
1779735090,21.59237288135416
1779735105,21.605084745764145
1779735120,21.822033898302617
1779735135,22.061864406779808
1779735150,22.077966101694035
1779735165,22.184745762711767
1779735180,22.127966101696195
1779735195,21.991525423730053
1779735210,22.06949152542359
1779735225,22.17796610169467
1779735240,22.19237288135677
1779735255,22.353389830508817
1779735270,22.28474576271118
1779735285,22.27796610169408
1779735300,22.22711864406647
1779735315,22.211016949152253
1779735330,22.213559322034737
1779735345,22.159322033897965
1779735360,22.189830508475517
1779735375,21.93728813559327
1779735390,21.804237288135052
1779735405,21.68389830508559
1779735420,21.51271186440851
1779735435,21.447457627118794
1779735450,21.401694915252456
1779735465,21.419491525422497
1779735480,21.322881355932253
1779735495,21.34745762711815
1779735510,21.310169491525965
1779735525,21.337288135593123
1779735540,21.243220338981672
1779735555,21.12881355932139
1779735570,21.088983050849187
1779735585,21.10932203389677
1779735600,20.97118644067728
1779735615,21.62033898305169
1779735630,21.583898305083714
1779735645,21.49999999999975
1779735660,21.52966101695063
1779735675,21.5610169491524
